 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7707****** 耗时:   132s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7718****** 耗时:   140s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7726****** 耗时:   150s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7733****** 耗时:   159s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7741****** 耗时:   170s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7748****** 耗时:   179s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7757****** 耗时:   189s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:27:57:869   结束时间: 20170508 08:31:06:745    历时:  189s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num = 20    the seed_num = 53


 best object function value(  0.7757) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7988****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7810****** 耗时:    17s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7712****** 耗时:    25s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7718****** 耗时:    34s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7708****** 耗时:    42s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7680****** 耗时:    50s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7693****** 耗时:    59s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7676****** 耗时:    67s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7642****** 耗时:    76s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7664****** 耗时:    86s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7681****** 耗时:    94s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7693****** 耗时:   104s*****************************************
